building_type,central_ac_yn,sq_ft_first_floor,sq_ft_second_floor,bathrooms,bedrooms,year_sold,sale_price
OneFam,Y,1204,462,1,3,2009,135000
OneFam,Y,892,0,1,1,2009,70000
OneFam,Y,808,0,1,2,2007,112000
OneFam,Y,617,462,1,2,2008,125600
OneFam,Y,879,0,1,2,2006,80000
OneFam,N,764,0,1,2,2008,73000
OneFam,N,938,1215,2,4,2008,122000
OneFam,Y,1453,0,1,2,2006,190000
OneFam,N,825,536,1,2,2008,89000
OneFam,Y,1001,634,1,2,2006,117000
OneFam,Y,708,0,1,2,2009,82500
OneFam,Y,1306,0,1,3,2010,76500
OneFam,Y,730,720,1,3,2008,132000
OneFam,Y,661,589,2,3,2007,139000
OneFam,N,599,0,1,2,2009,59000
OneFam,Y,840,534,1,2,2009,105000
OneFam,Y,1044,0,1,3,2009,119000
OneFam,Y,672,0,1,2,2008,86900
OneFam,Y,1027,0,1,2,2008,120000
OneFam,Y,691,0,1,2,2007,86000
OneFam,Y,1149,467,2,3,2007,152000
OneFam,Y,864,0,1,3,2007,118000
OneFam,Y,833,0,1,2,2006,117000
OneFam,Y,1073,0,1,2,2006,108480
OneFam,Y,796,358,1,3,2010,125500
OneFam,Y,792,0,1,2,2009,99900
OneFam,Y,926,0,1,3,2010,130000
OneFam,Y,882,0,1,1,2007,103200
OneFam,Y,1073,0,2,2,2006,157000
OneFam,Y,929,929,1,5,2009,104000
OneFam,Y,565,651,1,3,2008,115000
OneFam,N,1147,510,1,4,2006,111500
OneFam,Y,1088,110,1,4,2008,79900
OneFam,N,864,0,1,2,2008,98000
OneFam,Y,844,0,1,2,2006,111500
OneFam,N,933,240,2,3,2007,113000
OneFam,N,969,245,1,2,2007,117000
OneFam,Y,813,0,1,2,2006,110000
OneFam,Y,572,539,1,2,2008,116900
OneFam,N,672,672,1,3,2007,140000
OneFam,Y,647,595,1,3,2009,105000
OneFam,Y,676,455,1,3,2009,66500
OneFam,Y,840,0,1,2,2006,64000
OneFam,Y,741,686,1,3,2009,123000
OneFam,Y,886,0,1,2,2009,91300
OneFam,N,840,765,2,3,2010,107400
OneFam,Y,1347,0,1,3,2010,143000
OneFam,Y,1163,0,1,3,2006,126175
OneFam,Y,747,0,1,1,2006,79900
OneFam,Y,1030,582,1,3,2010,128500
OneFam,Y,936,0,1,2,2010,129000
OneFam,Y,736,554,1,3,2008,106900
OneFam,Y,816,0,1,2,2008,120500
OneFam,Y,869,0,1,2,2006,85500
OneFam,Y,684,396,1,3,2008,95000
OneFam,N,612,0,1,1,2009,45000
OneFam,N,600,368,1,2,2009,37900
OneFam,Y,1131,0,1,2,2007,89471
OneFam,N,761,380,1,3,2007,85000
OneFam,Y,896,0,1,2,2008,79000
Duplex,N,624,624,2,2,2006,93500
OneFam,Y,608,524,1,2,2010,134000
OneFam,Y,848,348,1,3,2010,128000
OneFam,Y,780,636,1,3,2010,139900
OneFam,Y,768,560,1,3,2009,129500
OneFam,Y,757,567,1,3,2009,128000
OneFam,Y,786,390,1,2,2009,134900
OneFam,Y,884,464,1,3,2009,117000
OneFam,Y,825,587,1,4,2009,132500
OneFam,Y,822,320,1,3,2009,93000
OneFam,Y,904,0,1,2,2009,119000
OneFam,Y,728,728,1,4,2008,139500
OneFam,Y,789,0,1,2,2008,115000
OneFam,Y,928,0,1,3,2008,112500
OneFam,Y,901,0,1,2,2008,107900
OneFam,Y,884,656,1,3,2008,129400
OneFam,Y,1014,658,1,3,2008,164900
OneFam,Y,949,0,1,2,2008,119000
OneFam,Y,950,208,1,3,2008,120000
OneFam,Y,825,672,2,3,2008,157000
OneFam,Y,874,468,2,2,2008,105000
OneFam,Y,760,330,1,3,2008,120000
OneFam,Y,1092,564,1,3,2008,126000
OneFam,Y,866,430,1,3,2007,127500
OneFam,Y,679,504,1,2,2007,120000
OneFam,Y,960,0,1,2,2007,108500
OneFam,Y,608,624,1,3,2007,128000
OneFam,Y,869,349,1,3,2007,131000
OneFam,Y,816,750,1,5,2006,139000
OneFam,Y,1103,0,1,2,2006,110500
OneFam,Y,616,0,1,2,2006,89000
OneFam,Y,1008,0,2,4,2006,102000
OneFam,N,600,319,1,3,2010,95000
Duplex,N,1152,0,2,2,2008,82000
Duplex,N,1152,0,2,2,2008,82000
OneFam,Y,772,351,1,3,2007,100000
OneFam,Y,1001,0,1,2,2007,124900
OneFam,Y,1068,0,1,2,2010,109500
OneFam,Y,1067,472,1,3,2009,141500
OneFam,Y,989,584,1,3,2009,133000
OneFam,N,800,0,1,1,2009,60000
OneFam,Y,875,0,1,2,2009,105000
OneFam,Y,995,0,1,2,2009,115000
OneFam,Y,994,588,2,3,2009,150000
OneFam,N,808,0,1,1,2008,81300
OneFam,Y,1226,676,2,4,2008,123500
OneFam,Y,1022,752,2,2,2008,129900
OneFam,Y,884,0,1,2,2007,113000
OneFam,Y,903,378,1,2,2007,132500
OneFam,Y,939,574,1,4,2007,137500
OneFam,Y,854,0,1,2,2007,132000
OneFam,Y,728,434,1,3,2006,75000
OneFam,N,1015,0,1,3,2006,88000
OneFam,Y,741,583,1,3,2006,110000
OneFam,Y,728,546,2,3,2007,135000
OneFam,Y,784,0,1,2,2008,109500
OneFam,Y,751,611,2,3,2008,128000
OneFam,Y,1160,448,2,3,2009,137450
OneFam,Y,902,0,1,3,2007,125500
OneFam,N,986,0,1,2,2007,102000
OneFam,N,824,464,1,4,2006,112000
OneFam,N,954,795,1,5,2006,118500
OneFam,Y,548,492,1,2,2010,123900
OneFam,Y,928,608,2,4,2010,138400
OneFam,Y,848,0,1,2,2009,103000
OneFam,Y,624,512,1,2,2008,123000
OneFam,Y,1128,445,2,3,2008,162900
OneFam,Y,1245,764,2,4,2008,150000
OneFam,Y,861,548,1,3,2007,126000
OneFam,Y,899,423,1,4,2007,132000
OneFam,Y,1014,412,1,3,2007,131750
OneFam,Y,959,408,1,3,2007,127500
OneFam,Y,816,0,1,3,2006,114500
OneFam,Y,896,448,1,3,2006,115000
OneFam,N,672,240,1,2,2006,80500
OneFam,Y,1042,534,1,3,2006,149000
OneFam,Y,1682,0,1,1,2008,247900
Duplex,N,1001,1001,2,4,2007,145000
OneFam,Y,894,0,1,2,2007,120750
OneFam,Y,1044,0,1,3,2007,133500
OneFam,Y,768,0,1,1,2008,93850
OneFam,Y,877,600,2,3,2009,145000
OneFam,N,790,0,1,2,2008,91000
OneFam,Y,832,436,1,3,2009,160000
OneFam,Y,742,742,2,3,2008,128000
OneFam,Y,1226,878,2,5,2006,155000
OneFam,Y,1096,0,1,3,2010,125200
OneFam,Y,954,0,1,2,2007,119750
OneFam,N,520,0,1,1,2008,68500
OneFam,N,780,240,1,2,2010,94000
OneFam,Y,955,498,1,3,2010,132000
OneFam,Y,864,0,1,3,2008,119916
OneFam,Y,1048,0,1,2,2006,113000
OneFam,Y,984,0,1,2,2008,112500
OneFam,Y,960,0,1,2,2007,131750
OneFam,N,596,596,1,3,2009,78000
OneFam,Y,868,690,1,3,2009,150000
OneFam,Y,960,0,1,3,2010,90000
OneFam,Y,876,0,1,3,2009,85000
OneFam,Y,1148,0,1,2,2006,123500
OneFam,Y,972,605,1,3,2006,140200
OneFam,N,942,942,1,4,2010,93369
OneFam,Y,848,580,1,4,2006,139900
OneFam,N,799,351,1,3,2006,128000
OneFam,Y,816,0,1,2,2008,128500
OneFam,Y,1127,0,1,3,2008,135000
OneFam,Y,1742,0,2,2,2006,275000
OneFam,Y,1073,0,1,3,2007,140000
OneFam,N,894,0,1,2,2009,109500
OneFam,N,1378,994,2,4,2009,107500
OneFam,Y,816,0,1,3,2008,130500
OneFam,Y,816,0,1,2,2008,138000
OneFam,Y,845,0,1,3,2008,134500
OneFam,Y,864,0,1,2,2007,125500
OneFam,N,1432,0,1,3,2009,149000
OneFam,N,720,0,1,2,2008,72500
OneFam,N,697,672,2,3,2009,103600
OneFam,Y,1312,0,2,2,2007,180500
OneFam,N,851,585,1,3,2007,141500
OneFam,Y,796,0,1,2,2007,138000
OneFam,N,899,0,1,2,2008,78000
OneFam,Y,936,0,1,3,2007,130000
OneFam,Y,1208,0,2,2,2010,206000
OneFam,Y,1290,0,2,2,2009,200000
OneFam,Y,1208,0,2,2,2007,195400
OneFam,Y,1294,0,2,2,2006,193879
OneFam,Y,912,0,1,3,2008,142000
OneFam,Y,759,539,2,2,2007,146500
Duplex,N,1152,0,2,2,2008,82500
OneFam,Y,1296,0,2,2,2009,220000
OneFam,N,916,144,1,1,2007,136500
OneFam,N,841,806,1,4,2010,128000
OneFam,Y,1008,0,1,3,2007,131000
OneFam,Y,1146,784,2,4,2009,149000
OneFam,Y,1272,0,2,4,2008,141000
Duplex,N,1152,0,2,2,2007,61500
OneFam,Y,773,582,1,3,2007,127000
OneFam,Y,1040,0,1,3,2010,127000
OneFam,Y,827,424,1,3,2010,119000
OneFam,Y,778,0,1,2,2008,120500
OneFam,Y,1301,0,1,2,2009,100000
OneFam,Y,1352,0,1,3,2006,130000
OneFam,Y,760,896,2,3,2008,165400
OneFam,Y,914,0,1,2,2009,134900
OneFam,Y,923,0,1,3,2008,119500
OneFam,Y,874,0,1,3,2010,130000
OneFam,Y,624,312,1,3,2006,97900
OneFam,Y,864,0,1,3,2009,120500
OneFam,Y,798,504,1,2,2007,165250
OneFam,Y,1120,0,1,3,2007,129000
OneFam,Y,960,0,1,2,2007,103000
Duplex,Y,1056,0,0,0,2010,144000
OneFam,Y,1236,0,1,3,2006,135000
OneFam,Y,1016,868,2,3,2009,240900
OneFam,Y,864,0,1,3,2009,136500
OneFam,Y,919,0,1,2,2008,126000
OneFam,Y,1134,0,1,2,2007,135000
OneFam,Y,925,0,1,3,2007,99000
OneFam,Y,720,495,1,3,2007,141000
OneFam,Y,865,445,2,2,2006,112000
OneFam,Y,1150,0,1,3,2006,146000
OneFam,Y,864,0,1,3,2006,105000
OneFam,Y,743,736,1,3,2006,160000
OneFam,Y,861,424,1,3,2006,145400
OneFam,Y,788,448,2,3,2008,127000
Duplex,Y,1513,0,2,4,2009,113722
OneFam,Y,448,272,1,1,2006,86900
OneFam,Y,1144,594,2,3,2008,153000
OneFam,Y,979,224,1,3,2009,110000
Duplex,Y,1535,0,2,4,2009,118964
Duplex,Y,1224,0,0,2,2009,153337
Duplex,Y,1114,1114,2,6,2009,147983
Duplex,Y,1535,0,2,4,2009,118858
Duplex,Y,1535,0,2,4,2009,118858
Duplex,Y,1120,1120,2,6,2009,142953
Duplex,Y,1368,0,2,2,2006,215000
OneFam,Y,734,674,2,3,2007,171500
OneFam,Y,1132,0,1,2,2008,176000
OneFam,Y,1090,0,1,2,2007,157000
OneFam,Y,641,0,1,2,2006,85000
Duplex,Y,943,0,1,2,2006,135960
OneFam,Y,864,0,1,3,2009,76500
Duplex,Y,1229,0,0,2,2009,148325
OneFam,Y,1057,872,2,3,2007,226000
OneFam,Y,983,813,1,4,2008,140000
Duplex,Y,1344,0,2,2,2008,206300
OneFam,Y,980,0,1,3,2009,135000
OneFam,Y,894,0,1,3,2007,125000
OneFam,Y,816,0,1,2,2006,129900
OneFam,Y,1143,0,1,2,2008,138000
OneFam,Y,918,728,2,4,2007,164000
OneFam,Y,864,0,1,2,2009,130000
OneFam,Y,1360,0,1,3,2007,130000
Duplex,N,979,979,2,4,2007,145000
OneFam,Y,892,0,1,3,2009,100000
OneFam,Y,912,0,1,3,2009,123000
OneFam,Y,988,0,1,3,2007,129250
OneFam,Y,1040,500,1,4,2007,115000
OneFam,Y,1294,0,2,3,2008,179200
OneFam,Y,810,793,2,3,2006,175900
OneFam,Y,628,600,1,3,2009,137000
OneFam,Y,686,775,1,3,2007,135000
OneFam,Y,904,0,1,3,2008,109900
OneFam,Y,806,918,2,3,2006,196500
OneFam,Y,1040,0,1,3,2006,160500
OneFam,Y,864,0,1,3,2008,127000
OneFam,Y,1568,0,2,3,2006,221000
Duplex,Y,862,1788,3,6,2010,160000
Duplex,N,1040,0,2,2,2009,90000
Duplex,Y,936,0,1,2,2007,140000
OneFam,Y,827,0,1,2,2010,107500
OneFam,Y,900,0,1,3,2010,134800
OneFam,Y,804,0,1,2,2010,119000
OneFam,Y,930,760,2,4,2009,156500
OneFam,Y,1136,768,1,3,2009,138000
OneFam,Y,732,0,1,2,2009,118900
OneFam,N,1022,0,1,2,2009,85000
OneFam,Y,894,0,1,2,2009,123000
OneFam,Y,768,0,1,2,2009,133900
OneFam,Y,1125,0,1,3,2009,125000
OneFam,Y,575,560,1,3,2009,155000
OneFam,Y,876,0,1,2,2008,94000
OneFam,Y,1048,0,1,3,2008,98300
OneFam,Y,854,424,1,4,2008,127500
OneFam,Y,1024,564,1,3,2008,150000
OneFam,Y,825,0,1,2,2008,109500
OneFam,Y,1040,0,1,2,2008,127500
OneFam,Y,780,0,1,2,2008,124900
OneFam,Y,684,714,1,3,2008,160500
OneFam,Y,851,651,1,3,2008,149000
OneFam,Y,988,0,1,3,2007,119000
OneFam,Y,1238,0,1,3,2007,102000
OneFam,Y,864,0,1,3,2007,129000
OneFam,Y,1072,0,1,2,2007,130000
OneFam,N,581,530,1,3,2007,101000
OneFam,Y,864,0,1,3,2007,127000
OneFam,Y,875,0,1,3,2007,117000
OneFam,Y,981,787,1,3,2007,175000
OneFam,Y,874,0,1,3,2006,97500
OneFam,Y,1262,0,2,2,2006,185000
OneFam,Y,1301,0,2,2,2006,187750
OneFam,Y,774,821,2,3,2006,155500
OneFam,Y,1040,0,1,2,2006,109500
OneFam,Y,1040,0,1,2,2006,109900
OneFam,Y,864,0,1,2,2006,105000
OneFam,Y,998,764,1,4,2006,157000
OneFam,Y,803,557,1,2,2006,125500
OneFam,Y,984,0,1,3,2006,90000
OneFam,Y,864,0,1,3,2006,119900
OneFam,Y,858,0,1,2,2010,116500
OneFam,Y,1422,0,1,3,2007,136500
OneFam,Y,798,842,2,3,2008,183000
OneFam,Y,832,0,1,2,2008,105500
OneFam,Y,867,851,2,4,2007,238000
OneFam,Y,1270,0,2,2,2007,175900
OneFam,Y,768,0,1,2,2007,129500
OneFam,Y,1190,0,2,3,2009,166000
OneFam,Y,858,0,1,2,2009,134900
OneFam,Y,1436,884,2,3,2007,259500
OneFam,N,952,596,2,3,2009,205000
OneFam,Y,936,665,2,3,2007,129850
OneFam,N,976,0,1,2,2006,102000
OneFam,Y,1424,0,2,2,2008,168000
OneFam,Y,495,1427,3,4,2009,198500
OneFam,N,960,780,1,2,2008,122250
OneFam,N,407,0,1,1,2008,46500
OneFam,Y,1232,0,2,2,2009,194500
OneFam,Y,1170,0,1,3,2007,140000
OneFam,Y,1358,0,2,3,2007,204000
OneFam,Y,1450,0,2,2,2009,224243
OneFam,Y,864,0,1,2,2006,120000
OneFam,Y,858,0,1,2,2007,110000
OneFam,Y,1041,0,1,3,2009,128000
OneFam,Y,952,0,1,2,2008,139000
OneFam,Y,1222,0,2,2,2010,187000
OneFam,Y,975,873,2,3,2010,254000
OneFam,Y,1478,0,2,2,2009,240000
OneFam,Y,1327,0,1,3,2007,150750
OneFam,Y,1098,0,1,3,2008,135000
OneFam,Y,912,0,1,2,2008,99500
OneFam,Y,975,975,2,3,2007,239000
OneFam,Y,1126,0,1,2,2008,152000
OneFam,Y,1045,0,1,3,2006,120000
OneFam,Y,861,0,1,2,2009,80000
OneFam,Y,1220,0,2,2,2006,194000
OneFam,Y,1236,0,1,2,2010,149700
OneFam,Y,864,729,2,3,2008,193000
OneFam,Y,1057,0,1,3,2007,132000
Duplex,Y,1373,0,1,3,2010,160250
OneFam,Y,1195,473,1,3,2008,108000
OneFam,Y,894,0,1,2,2009,141500
OneFam,Y,936,316,1,3,2006,127000
OneFam,Y,1089,0,1,3,2009,125000
OneFam,Y,1486,0,2,3,2007,181000
OneFam,Y,788,0,1,2,2006,100000
OneFam,Y,1108,0,1,3,2007,139400
OneFam,Y,1074,0,1,2,2007,124000
OneFam,Y,725,754,1,4,2007,184000
OneFam,Y,1040,0,1,3,2007,145000
OneFam,Y,876,0,1,3,2010,127000
OneFam,Y,1208,0,2,2,2006,183600
OneFam,Y,1028,776,2,3,2010,189000
OneFam,Y,814,860,2,3,2010,216000
OneFam,Y,1040,0,1,3,2010,133000
OneFam,Y,1246,0,1,3,2010,154000
OneFam,Y,698,430,1,2,2010,68400
OneFam,Y,952,684,2,3,2009,191000
OneFam,Y,1058,816,2,3,2009,220000
OneFam,Y,1448,0,2,2,2009,238500
OneFam,Y,1221,0,2,2,2009,185000
OneFam,Y,1141,0,1,3,2009,152000
OneFam,Y,1158,0,1,3,2009,143500
OneFam,Y,753,741,1,3,2009,177500
OneFam,Y,1218,0,2,2,2008,230348
OneFam,Y,1080,0,1,3,2008,141000
OneFam,Y,952,860,2,3,2008,205000
OneFam,Y,957,1342,3,5,2007,204000
OneFam,Y,1100,0,1,3,2007,146000
OneFam,Y,1143,0,1,3,2007,147000
OneFam,Y,1040,0,1,3,2007,152000
OneFam,Y,1266,0,2,3,2006,176000
OneFam,Y,900,412,1,3,2006,127000
OneFam,Y,747,412,1,3,2008,114000
OneFam,Y,1387,0,1,3,2006,145000
OneFam,Y,665,665,1,3,2006,116500
OneFam,Y,912,0,1,2,2007,120000
OneFam,Y,912,0,1,2,2007,156000
OneFam,N,986,376,2,4,2007,96000
OneFam,Y,1172,741,1,3,2009,177000
OneFam,Y,1339,0,1,3,2009,139000
OneFam,Y,864,0,1,3,2008,123000
OneFam,Y,1040,0,1,3,2006,133700
OneFam,Y,993,813,1,4,2009,144750
OneFam,Y,1036,0,1,3,2008,112900
OneFam,Y,1002,454,1,4,2006,91500
OneFam,Y,901,901,1,4,2006,200100
OneFam,Y,1117,0,1,3,2008,136870
OneFam,Y,876,936,2,4,2007,169500
OneFam,Y,660,688,1,3,2006,155000
Duplex,Y,960,1000,2,4,2009,124500
OneFam,Y,845,0,1,2,2007,129500
OneFam,Y,798,714,2,3,2008,231000
OneFam,Y,714,662,1,2,2006,96900
OneFam,Y,1031,0,1,2,2009,145500
OneFam,Y,1095,561,2,2,2008,119164
OneFam,Y,831,754,2,3,2006,184900
OneFam,Y,1175,0,1,3,2010,148000
OneFam,Y,912,514,1,3,2007,189950
OneFam,Y,910,732,2,3,2007,168000
OneFam,Y,883,0,1,2,2009,149000
OneFam,Y,773,0,1,2,2008,110000
OneFam,Y,820,523,1,3,2009,154900
OneFam,Y,697,804,2,3,2006,165600
OneFam,Y,796,0,1,2,2009,131900
OneFam,Y,1204,0,1,3,2008,100000
OneFam,Y,1258,0,2,3,2007,173500
Duplex,Y,1216,1216,4,4,2010,159000
OneFam,Y,1051,788,1,4,2010,155000
OneFam,Y,882,0,1,3,2007,112500
OneFam,Y,1145,0,1,3,2006,127000
OneFam,Y,833,897,2,3,2009,171500
OneFam,Y,1034,0,1,3,2008,153000
OneFam,Y,1091,0,1,2,2009,131250
Duplex,Y,1440,0,2,4,2007,150000
OneFam,Y,728,728,2,3,2007,177594
Duplex,Y,1190,0,1,3,2006,132500
OneFam,Y,1142,0,1,3,2006,139500
OneFam,Y,741,622,1,3,2010,125500
OneFam,N,1032,0,1,2,2006,108000
OneFam,Y,955,0,1,3,2007,127000
OneFam,Y,774,656,2,3,2010,180000
OneFam,Y,779,640,2,3,2009,184100
OneFam,Y,774,656,2,3,2009,156000
OneFam,Y,707,707,2,3,2008,176000
OneFam,Y,660,660,2,3,2007,162000
OneFam,Y,1100,1164,2,4,2007,200000
OneFam,Y,999,0,1,3,2007,132500
OneFam,Y,1226,592,1,4,2007,169500
OneFam,Y,1283,0,1,3,2008,140000
OneFam,Y,1491,0,2,3,2007,178000
OneFam,Y,1014,0,1,2,2008,98000
OneFam,Y,912,0,1,3,2009,129000
OneFam,N,1160,908,1,3,2010,209500
OneFam,Y,716,716,2,3,2009,188500
OneFam,Y,1268,0,1,2,2010,132000
OneFam,Y,892,0,1,3,2010,137900
OneFam,Y,899,0,1,3,2009,130000
OneFam,Y,891,795,2,3,2006,184000
OneFam,Y,965,0,1,3,2006,119900
OneFam,Y,912,0,1,2,2006,115000
OneFam,Y,1112,896,3,3,2006,225000
OneFam,N,1091,0,1,2,2008,104000
Duplex,Y,960,960,2,4,2008,161900
OneFam,Y,1328,653,2,4,2009,135000
OneFam,Y,1230,525,2,4,2007,188000
OneFam,Y,1117,0,1,3,2010,107000
OneFam,Y,846,492,2,3,2006,92000
OneFam,Y,1180,0,1,2,2009,128000
OneFam,Y,492,0,1,1,2006,61500
OneFam,Y,864,0,1,2,2010,137250
OneFam,Y,799,772,2,3,2009,178000
OneFam,Y,900,0,1,3,2006,123000
Duplex,Y,1012,0,2,4,2006,127500
OneFam,Y,672,728,1,3,2006,149500
OneFam,Y,774,656,2,3,2009,168000
OneFam,Y,860,1100,2,4,2010,216500
OneFam,Y,807,702,2,3,2006,183200
OneFam,Y,1218,0,2,2,2009,208300
OneFam,Y,1144,0,1,3,2008,139950
OneFam,Y,691,862,2,3,2007,178750
OneFam,Y,1253,0,2,3,2007,176000
OneFam,Y,847,1101,2,4,2007,211000
OneFam,Y,807,702,2,3,2006,180000
OneFam,N,720,0,1,2,2009,34900
OneFam,Y,856,0,1,2,2010,126000
OneFam,Y,985,0,1,2,2010,105000
OneFam,Y,1242,0,1,3,2007,152000
OneFam,Y,1507,0,2,4,2008,127000
OneFam,Y,1675,0,2,3,2008,195000
OneFam,Y,953,694,2,3,2007,175000
OneFam,Y,1113,0,1,3,2007,148000
OneFam,Y,1035,371,1,3,2008,89500
OneFam,Y,914,0,1,3,2007,133000
OneFam,Y,1057,0,1,3,2010,109000
OneFam,Y,1026,0,1,3,2009,156000
OneFam,Y,1148,0,1,3,2009,132500
OneFam,Y,1269,0,1,3,2008,155000
OneFam,Y,1045,0,1,3,2009,127000
OneFam,Y,1003,0,1,3,2006,142500
Duplex,Y,1168,1619,4,6,2009,269500
OneFam,Y,1040,0,1,3,2007,136000
OneFam,Y,1029,0,1,3,2007,118500
OneFam,Y,1150,0,1,3,2006,141000
OneFam,Y,698,728,1,3,2009,159500
Duplex,Y,1168,1619,4,6,2009,269500
OneFam,Y,1187,0,2,3,2010,185000
OneFam,Y,868,762,2,3,2009,189500
OneFam,Y,924,0,1,3,2008,110000
OneFam,Y,1436,0,2,3,2009,225000
Duplex,N,1800,0,2,6,2007,141000
OneFam,Y,1492,0,2,3,2010,230000
OneFam,Y,972,0,1,2,2009,132000
OneFam,Y,1183,0,1,3,2009,138000
OneFam,Y,773,885,2,3,2008,188000
OneFam,Y,1256,0,1,3,2008,159000
OneFam,Y,1027,0,1,3,2008,125900
OneFam,Y,1084,793,2,4,2007,178900
OneFam,Y,1403,1008,2,4,2007,240050
OneFam,Y,1377,0,1,3,2007,156500
OneFam,Y,832,1103,2,3,2009,263435
OneFam,Y,951,0,1,2,2009,143500
OneFam,Y,840,880,2,3,2008,188000
OneFam,Y,1072,976,2,3,2007,301000
OneFam,Y,1034,0,1,3,2009,149900
OneFam,N,912,0,1,3,2006,124000
OneFam,Y,728,728,2,3,2008,176000
OneFam,Y,1339,0,2,2,2006,180000
OneFam,Y,1143,0,1,3,2010,136000
OneFam,Y,929,208,1,4,2008,96000
OneFam,Y,1107,0,1,3,2007,127000
OneFam,Y,914,0,1,2,2006,117250
OneFam,Y,948,742,2,3,2007,181000
OneFam,Y,816,408,1,3,2010,132000
OneFam,N,765,368,1,3,2009,128500
OneFam,Y,1064,0,1,3,2009,135000
OneFam,Y,819,501,2,3,2008,138000
OneFam,Y,672,252,1,3,2007,122900
OneFam,Y,1010,1257,2,4,2009,200000
OneFam,Y,990,0,1,3,2007,123600
OneFam,Y,990,0,1,3,2009,138000
OneFam,Y,1169,0,2,3,2006,183500
Duplex,Y,1560,0,2,4,2007,128600
OneFam,N,498,0,1,1,2006,35000
OneFam,Y,1419,0,2,2,2007,392000
OneFam,Y,1050,0,1,3,2006,156000
OneFam,Y,888,1074,1,4,2010,149500
OneFam,Y,1048,720,2,3,2009,155000
OneFam,Y,1403,0,2,2,2006,202000
OneFam,N,1075,1063,2,2,2009,106000
OneFam,Y,864,0,1,3,2008,135000
OneFam,Y,1559,0,1,2,2007,153500
OneFam,Y,864,0,1,3,2009,124500
OneFam,Y,953,711,2,3,2006,172400
OneFam,Y,1007,793,2,3,2009,179000
OneFam,Y,702,779,2,3,2009,174000
OneFam,Y,1112,438,2,2,2009,241000
OneFam,Y,1836,0,2,3,2009,264500
OneFam,Y,864,0,1,3,2009,118000
OneFam,Y,822,843,2,3,2008,205950
OneFam,Y,1679,0,2,3,2008,193500
OneFam,Y,925,0,1,3,2008,135000
OneFam,Y,858,0,1,3,2006,88000
OneFam,Y,756,797,2,3,2006,186500
OneFam,Y,858,858,2,3,2006,200825
OneFam,Y,778,798,2,3,2006,197000
OneFam,Y,1654,0,2,3,2006,230000
OneFam,Y,812,841,2,3,2009,209000
OneFam,Y,1062,0,1,3,2009,131000
OneFam,Y,680,790,2,3,2008,165000
Duplex,Y,1240,1240,2,5,2009,205000
OneFam,Y,738,738,2,3,2007,179400
OneFam,Y,717,322,1,2,2009,114000
OneFam,Y,540,0,1,1,2010,82000
