gender,yearsmarried,children,religiousness_5_is_very_and_1_is_anti,years_of_education,occupation_category_group,happiness_in_married_5_is_v_happy_and_1_is_v_unhappy,age_decade,has_affair,region,age
female,1.5,no,4,16,5,3,20,0,PA,27.3
female,10,yes,4,16,1,5,30,0,PA,35
male,4,no,2,17,5,3,20,0,PA,26.7
female,0.417,no,4,14,5,5,20,0,NY,21.6
female,4,no,2,18,5,5,20,0,Oh,23.4
male,15,yes,4,18,5,3,30,0,PA,37.3
male,10,yes,5,20,7,4,30,0,Oh,32.3
female,7,yes,2,14,4,2,20,0,PA,22.9
male,4,yes,2,16,5,5,30,0,NY,39.8
male,4,yes,2,16,6,4,30,0,NC,33.3
male,1.5,no,3,18,4,5,20,0,WV,28.4
female,4,yes,4,14,3,4,20,0,PA,28.4
female,0.75,no,2,18,5,4,10,0,PA,13.1
male,10,yes,4,20,4,5,30,0,NY,32
female,0.75,no,5,14,3,3,30,0,PA,37.3
male,15,yes,4,17,5,3,30,0,PA,30.5
male,4,no,3,14,4,5,30,0,WV,31.1
female,1.5,no,2,17,3,2,20,0,NY,23.1
female,7,yes,4,14,1,5,20,0,PA,29.5
male,15,yes,5,14,6,5,40,0,NY,45.4
male,4,yes,1,16,4,4,20,0,PA,27.4
female,15,yes,5,14,1,3,30,0,PA,32.5
male,4,yes,4,18,5,5,40,0,Oh,44.9
female,4,yes,2,14,1,5,30,0,NY,35.9
male,15,yes,2,14,7,4,50,0,PA,59.2
female,1.5,no,2,16,1,4,20,0,SC,26.8
male,15,yes,4,12,2,4,50,0,NY,54.5
female,0.417,no,3,17,1,5,20,0,NY,20.9
female,1.5,no,2,16,5,5,20,0,NY,29.1
male,4,yes,4,20,6,4,20,0,NY,28.2
female,15,yes,4,14,1,5,30,0,NY,37.8
female,1.5,no,2,16,3,5,20,0,Oh,26.6
male,4,no,1,20,6,5,30,0,NY,30.2
male,15,yes,3,20,6,4,30,0,WV,36.8
female,10,no,2,16,6,5,30,0,PA,32.5
female,10,yes,5,14,5,5,30,0,PA,32.4
male,1.5,yes,4,18,5,3,30,0,NY,35.6
male,1.5,no,2,18,4,4,30,0,NY,31
female,10,yes,4,14,1,4,30,0,SC,37.5
female,15,yes,4,18,5,4,40,0,SC,42.7
female,10,yes,5,12,1,5,20,0,Oh,21.7
male,4,yes,3,16,4,5,20,0,PA,28
female,15,yes,4,12,4,2,30,0,NY,33.8
female,0.75,no,4,16,5,5,20,0,NY,25.2
female,15,yes,4,16,1,5,30,0,PA,37.6
female,15,yes,3,16,1,5,30,0,SC,32.5
female,10,yes,2,16,1,5,20,0,PA,25.8
male,7,no,2,20,6,5,20,0,NY,24.9
female,15,yes,2,14,1,3,30,0,PA,36.6
male,1.5,yes,2,17,4,4,20,0,Oh,24.9
female,0.75,yes,2,14,1,5,20,0,SC,27.8
male,4,yes,4,14,2,4,20,0,NY,26.1
male,0.125,no,4,17,6,4,40,0,NY,42.8
male,1.5,yes,4,18,6,5,20,0,NY,21.4
male,7,yes,3,16,6,3,20,0,SC,27.3
female,15,yes,4,14,1,3,50,0,SC,52.7
male,1.5,no,5,20,5,2,20,0,NY,28.6
female,1.5,no,2,16,5,5,20,0,PA,23
female,1.5,no,3,17,5,5,20,0,PA,27.7
male,0.125,no,5,16,4,4,20,0,PA,23.1
female,4,yes,4,16,1,5,20,0,PA,23.2
female,4,yes,4,12,1,5,20,0,NY,25.6
female,15,yes,2,14,5,5,40,0,PA,43.3
female,15,yes,3,14,5,3,30,0,PA,38
male,7,yes,2,16,5,5,40,0,NY,40
male,0.75,no,4,16,6,4,20,0,PA,25.9
male,0.125,no,3,20,6,5,20,0,NC,28.7
male,10,yes,3,20,6,5,30,0,WV,34.7
female,0.417,no,5,14,4,5,20,0,NY,29.7
female,15,yes,5,14,1,4,40,0,NY,46.2
female,10,yes,3,14,1,5,30,0,PA,36.6
male,15,yes,4,17,5,5,50,0,SC,58.7
male,4,yes,3,20,6,5,20,0,PA,22.9
female,7,yes,4,17,1,5,30,0,NY,34.2
female,10,yes,4,16,1,5,30,0,PA,35.2
female,10,yes,1,18,1,4,30,0,NY,40
female,4,no,3,14,1,4,20,0,SC,26
female,7,yes,4,14,3,2,20,0,PA,24.1
male,15,yes,5,18,5,2,50,0,NY,59.4
male,7,yes,2,18,5,5,30,0,NY,36
female,1.5,no,4,17,1,3,20,0,Oh,20.5
male,1.5,no,4,14,5,5,20,0,PA,24.8
female,1.5,yes,4,14,5,4,20,0,SC,29.7
female,7,yes,3,16,1,5,30,0,NY,30.5
female,15,yes,3,16,5,4,40,0,NY,40.2
female,0.75,no,3,16,1,5,20,0,WV,22.6
female,1.5,yes,2,14,5,5,20,0,NY,21.3
female,4,yes,1,16,5,5,20,0,PA,26.6
male,15,yes,4,16,5,5,50,0,NY,58.4
male,10,yes,4,20,6,5,30,0,SC,30.3
male,15,yes,4,16,6,4,40,0,Oh,44.3
female,7,yes,2,14,1,2,20,0,SC,26.9
female,1.5,no,4,14,4,5,20,0,PA,27.1
female,10,yes,2,16,5,4,30,0,Oh,32
female,0.75,no,2,16,5,4,20,0,WV,26.4
female,1.5,no,2,16,5,5,20,0,PA,28.2
female,15,yes,3,18,6,4,40,0,NY,47.1
female,7,yes,5,14,4,5,20,0,WV,28.5
male,15,yes,4,16,4,4,40,0,PA,41.3
female,15,yes,3,18,5,2,50,0,SC,53
male,15,yes,3,18,6,2,40,0,NY,40.4
female,7,yes,2,14,1,2,30,0,PA,34.9
male,4,no,5,12,4,5,20,0,SC,21.9
female,1.5,no,1,16,6,5,20,0,PA,28.7
female,0.75,no,1,14,4,5,20,0,NC,20.3
female,15,yes,4,12,1,5,30,0,WV,36.3
male,1.5,no,2,18,5,3,20,0,NY,24.6
male,4,yes,5,17,2,5,20,0,NY,21.1
female,4,yes,4,12,1,5,20,0,PA,22.2
male,15,yes,5,18,5,4,40,0,PA,45
male,1.5,no,2,20,7,3,30,0,PA,34.9
male,15,no,4,9,3,1,50,0,PA,55.8
male,7,no,4,18,5,5,30,0,PA,32.2
male,15,yes,2,17,5,4,50,0,Oh,57.6
male,15,yes,4,17,6,5,40,0,WV,41.9
female,7,no,2,17,5,4,20,0,NC,24.7
female,7,yes,4,14,5,5,20,0,PA,25.7
female,4,no,2,14,3,3,20,0,WV,26.6
male,7,yes,2,20,6,5,30,0,Oh,35.5
male,7,no,4,12,4,3,20,0,Oh,21.3
male,10,yes,4,18,6,4,40,0,NY,44.8
female,1.5,no,3,14,1,5,20,0,PA,26
female,4,yes,2,14,1,3,20,0,WV,25.9
female,15,no,4,20,6,5,50,0,Oh,54.8
male,15,yes,4,14,4,3,30,0,SC,39.9
female,7,yes,3,18,5,5,20,0,NY,24.8
female,10,no,4,14,4,5,10,0,WV,10.4
male,4,yes,4,16,5,5,20,0,NY,22.3
female,4,yes,2,16,1,4,20,0,NY,24.7
female,15,yes,2,14,5,1,30,0,SC,30
female,1.5,no,5,14,1,4,20,0,PA,26.9
male,7,yes,2,20,5,4,20,0,NY,27.4
male,4,yes,4,14,5,5,20,0,PA,26.3
male,0.125,no,1,16,3,5,20,0,NY,24.4
female,7,yes,4,14,1,4,20,0,PA,20.2
female,15,yes,5,16,5,3,30,0,NY,37.6
male,10,yes,4,18,5,4,30,0,NY,37.9
female,15,yes,2,14,3,4,30,0,NY,35.6
female,1.5,no,3,17,5,5,20,0,PA,29.8
male,4,yes,4,17,4,4,20,0,NY,28.7
female,15,yes,5,14,1,5,50,0,PA,53.5
female,7,yes,2,12,1,2,20,0,WV,27.9
female,7,yes,3,12,1,4,20,0,PA,24.1
female,15,yes,2,14,1,4,40,0,NC,47.1
female,15,yes,4,14,5,4,40,0,NY,41.4
male,7,yes,4,14,3,3,20,0,NY,25.3
male,7,yes,2,20,6,2,20,0,SC,29.9
female,15,yes,3,12,3,3,40,0,PA,48.4
male,4,yes,3,16,3,5,20,0,Oh,21.3
female,7,yes,3,14,1,4,20,0,PA,29.6
female,1.5,no,2,14,4,5,20,0,PA,28.6
female,4,yes,4,14,1,4,20,0,NC,25.8
female,4,no,4,14,5,5,20,0,Oh,29.1
female,1.5,no,2,16,4,5,20,0,PA,26.7
male,15,no,4,14,5,4,40,0,PA,43.7
male,10,yes,2,18,6,2,30,0,NY,37
male,15,yes,3,17,5,4,30,0,NY,34.5
female,4,yes,2,16,1,4,20,0,NY,24.9
male,1.5,no,3,18,4,4,20,1,NY,20.2
female,4,yes,3,17,1,5,20,1,PA,20.1
male,15,yes,5,18,6,2,30,1,NC,31.9
female,10,yes,3,17,5,2,30,1,NY,37.3
male,0.125,no,4,16,5,5,20,1,SC,27.6
female,1.5,yes,2,14,1,5,20,1,Oh,28.5
male,15,yes,4,14,5,2,30,1,NY,36.5
female,1.5,no,2,14,3,4,20,1,Oh,24.2
male,15,yes,2,18,6,4,30,1,NY,30.4
female,15,yes,4,12,3,2,30,1,PA,39.3
female,15,yes,4,14,4,2,30,1,PA,34
female,15,yes,3,17,1,4,40,1,NY,48.2
female,15,yes,5,9,4,1,40,1,PA,41.9
male,10,yes,2,20,6,2,30,1,Oh,31.2
female,15,yes,3,14,1,2,30,1,PA,33.4
male,4,no,1,18,6,5,20,1,WV,28.5
male,10,yes,2,18,7,3,30,1,NY,37.3
female,4,no,3,17,5,5,20,1,NY,30
male,15,yes,4,16,5,5,40,1,PA,46.7
female,15,yes,5,14,4,5,40,1,NC,48.5
female,4,yes,3,18,5,4,20,1,PA,26.2
female,7,yes,5,14,1,4,20,1,WV,29.4
male,1.5,yes,3,17,5,4,20,1,SC,28.1
female,7,yes,4,14,6,2,20,1,WV,20.3
female,15,yes,4,16,5,4,40,1,NC,46.1
female,10,yes,4,12,7,3,20,1,PA,26.4
male,1.5,no,2,18,5,2,20,1,NC,24.5
male,4,no,4,20,6,4,30,1,NC,37.5
female,7,yes,3,14,1,3,20,1,PA,22.9
female,10,yes,4,14,1,4,30,1,NC,31.1
male,4,yes,2,18,7,2,20,1,PA,20.3
female,0.75,no,5,14,4,5,10,1,PA,14.6
female,10,yes,4,18,1,5,30,1,Oh,35.5
female,7,yes,2,17,6,4,30,1,PA,30.6
male,15,yes,2,20,6,4,30,1,NC,38.9
female,10,no,1,20,5,3,30,1,PA,31.5
female,10,yes,2,16,5,5,30,1,NY,31.3
male,15,yes,2,20,6,4,50,1,WV,56.9
female,15,yes,1,12,1,3,40,1,NY,43.6
male,15,yes,2,20,6,3,50,1,NC,52.7
male,15,yes,3,18,6,5,30,1,PA,39.2
female,4,no,3,12,3,4,20,1,NY,21.6
male,7,yes,1,18,6,2,20,1,WV,22.6
male,4,yes,3,18,5,5,20,1,Oh,28.6
male,15,yes,4,17,6,5,40,1,PA,42.9
female,15,yes,4,12,1,1,40,1,WV,44.4
male,4,no,3,14,3,4,20,1,NY,26.2
female,7,yes,4,18,4,5,30,1,Oh,39.2
male,0.417,yes,3,12,3,4,30,1,PA,33.6
male,15,yes,5,16,5,4,40,1,WV,45.2
male,15,yes,2,20,5,4,30,1,NY,39.2
male,4,yes,2,17,6,4,20,1,PA,28.9
male,4,no,2,14,4,5,20,1,WV,20.9
female,15,yes,5,16,1,3,50,1,NY,58.4
male,4,no,3,14,3,3,20,1,SC,20.6
female,10,yes,4,16,1,4,20,1,PA,26.3
male,7,yes,3,14,7,4,30,1,PA,30.7
male,7,yes,2,18,4,1,30,1,PA,37.7
male,1.5,no,1,14,3,2,20,1,PA,22.7
male,4,yes,3,18,6,4,20,1,SC,28.9
male,15,yes,4,20,6,4,40,1,PA,42.9
female,15,yes,1,18,5,4,50,1,Oh,59.2
female,4,yes,3,18,5,2,30,1,NY,35.8
male,4,yes,1,16,4,4,20,1,NY,28.9
male,7,yes,4,16,1,4,30,1,NY,31.4
male,15,yes,1,17,4,4,50,1,PA,59.6
female,15,yes,4,14,5,2,40,1,PA,43.8
male,10,yes,1,18,5,3,30,1,NY,30.1
male,15,yes,3,17,6,1,40,1,NY,46.9
female,15,yes,3,14,4,4,50,1,PA,52
female,7,yes,3,17,5,3,20,1,PA,27.8
male,7,yes,2,12,4,2,30,1,WV,37.5
male,4,no,4,14,2,5,20,1,NY,26.5
male,7,yes,3,18,6,4,20,1,NC,20.4
female,15,yes,1,18,5,5,30,1,NY,35.9
female,15,yes,3,17,1,3,30,1,NY,39
female,7,no,2,17,5,5,20,1,WV,27.5
